method_1,method_2,forecast_quarter,intersection_size,union_size,jaccard_similarity
LASSO,Threshold ridge,2015 Q2,6,18,0.3333333333333333
LASSO,Threshold ridge,2015 Q3,3,18,0.16666666666666666
LASSO,Threshold ridge,2015 Q4,3,18,0.16666666666666666
LASSO,Threshold ridge,2016 Q1,4,17,0.23529411764705882
LASSO,Threshold ridge,2016 Q2,1,16,0.0625
LASSO,Threshold ridge,2016 Q3,1,16,0.0625
LASSO,Threshold ridge,2016 Q4,1,17,0.058823529411764705
LASSO,Threshold ridge,2017 Q1,0,17,0
LASSO,Threshold ridge,2017 Q2,3,15,0.2
LASSO,Threshold ridge,2017 Q3,3,16,0.1875
LASSO,Threshold ridge,2017 Q4,0,16,0
LASSO,Threshold ridge,2018 Q1,0,17,0
LASSO,Threshold ridge,2018 Q2,0,17,0
LASSO,Threshold ridge,2018 Q3,1,14,0.07142857142857142
LASSO,Threshold ridge,2018 Q4,0,15,0
LASSO,Threshold ridge,2019 Q1,0,15,0
LASSO,Threshold ridge,2019 Q2,0,15,0
LASSO,Threshold ridge,2019 Q3,1,15,0.06666666666666667
LASSO,Post-threshold ridge,2005 Q2,4,13,0.3076923076923077
LASSO,Post-threshold ridge,2005 Q3,0,14,0
LASSO,Post-threshold ridge,2005 Q4,0,14,0
LASSO,Post-threshold ridge,2006 Q1,0,17,0
LASSO,Post-threshold ridge,2006 Q2,1,13,0.07692307692307693
LASSO,Post-threshold ridge,2006 Q3,2,16,0.125
LASSO,Post-threshold ridge,2006 Q4,0,15,0
LASSO,Post-threshold ridge,2007 Q1,0,16,0
LASSO,Post-threshold ridge,2007 Q2,1,15,0.06666666666666667
LASSO,Post-threshold ridge,2007 Q3,1,15,0.06666666666666667
LASSO,Post-threshold ridge,2007 Q4,0,15,0
LASSO,Post-threshold ridge,2008 Q1,2,14,0.14285714285714285
LASSO,Post-threshold ridge,2008 Q2,1,15,0.06666666666666667
LASSO,Post-threshold ridge,2008 Q3,0,14,0
LASSO,Post-threshold ridge,2008 Q4,0,21,0
LASSO,Post-threshold ridge,2009 Q1,0,17,0
LASSO,Post-threshold ridge,2009 Q2,0,17,0
LASSO,Post-threshold ridge,2009 Q3,0,18,0
LASSO,Post-threshold ridge,2009 Q4,1,16,0.0625
LASSO,Post-threshold ridge,2010 Q1,0,19,0
LASSO,Post-threshold ridge,2010 Q2,0,18,0
LASSO,Post-threshold ridge,2010 Q3,0,17,0
LASSO,Post-threshold ridge,2010 Q4,1,17,0.058823529411764705
LASSO,Post-threshold ridge,2011 Q1,0,16,0
LASSO,Post-threshold ridge,2011 Q2,0,15,0
LASSO,Post-threshold ridge,2011 Q3,1,16,0.0625
LASSO,Post-threshold ridge,2011 Q4,0,18,0
LASSO,Post-threshold ridge,2012 Q1,1,16,0.0625
LASSO,Post-threshold ridge,2012 Q2,1,16,0.0625
LASSO,Post-threshold ridge,2012 Q3,0,17,0
LASSO,Post-threshold ridge,2012 Q4,0,15,0
LASSO,Post-threshold ridge,2013 Q1,1,17,0.058823529411764705
LASSO,Post-threshold ridge,2013 Q2,0,16,0
LASSO,Post-threshold ridge,2013 Q3,0,16,0
LASSO,Post-threshold ridge,2013 Q4,1,16,0.0625
LASSO,Post-threshold ridge,2014 Q1,0,18,0
LASSO,Post-threshold ridge,2014 Q2,0,17,0
LASSO,Post-threshold ridge,2014 Q3,1,17,0.058823529411764705
LASSO,Post-threshold ridge,2014 Q4,3,18,0.16666666666666666
LASSO,Post-threshold ridge,2015 Q1,6,16,0.375
LASSO,Post-threshold ridge,2015 Q2,6,18,0.3333333333333333
LASSO,Post-threshold ridge,2015 Q3,3,18,0.16666666666666666
LASSO,Post-threshold ridge,2015 Q4,3,18,0.16666666666666666
LASSO,Post-threshold ridge,2016 Q1,4,17,0.23529411764705882
LASSO,Post-threshold ridge,2016 Q2,1,16,0.0625
LASSO,Post-threshold ridge,2016 Q3,1,16,0.0625
LASSO,Post-threshold ridge,2016 Q4,1,17,0.058823529411764705
LASSO,Post-threshold ridge,2017 Q1,0,17,0
LASSO,Post-threshold ridge,2017 Q2,3,15,0.2
LASSO,Post-threshold ridge,2017 Q3,3,16,0.1875
LASSO,Post-threshold ridge,2017 Q4,0,16,0
LASSO,Post-threshold ridge,2018 Q1,0,17,0
LASSO,Post-threshold ridge,2018 Q2,0,17,0
LASSO,Post-threshold ridge,2018 Q3,1,14,0.07142857142857142
LASSO,Post-threshold ridge,2018 Q4,0,15,0
LASSO,Post-threshold ridge,2019 Q1,0,15,0
LASSO,Post-threshold ridge,2019 Q2,0,15,0
LASSO,Post-threshold ridge,2019 Q3,1,15,0.06666666666666667
LASSO,OCMT,2005 Q2,2,4,0.5
LASSO,OCMT,2005 Q3,0,2,0
LASSO,OCMT,2005 Q4,0,2,0
LASSO,OCMT,2006 Q1,0,2,0
LASSO,OCMT,2006 Q2,1,2,0.5
LASSO,OCMT,2006 Q3,1,2,0.5
LASSO,OCMT,2006 Q4,0,2,0
LASSO,OCMT,2007 Q1,0,2,0
LASSO,OCMT,2007 Q2,1,2,0.5
LASSO,OCMT,2007 Q3,1,2,0.5
LASSO,OCMT,2007 Q4,0,1,0
LASSO,OCMT,2008 Q1,1,2,0.5
LASSO,OCMT,2008 Q2,1,2,0.5
LASSO,OCMT,2008 Q3,0,1,0
LASSO,OCMT,2008 Q4,0,2,0
LASSO,OCMT,2009 Q1,0,2,0
LASSO,OCMT,2009 Q2,0,2,0
LASSO,OCMT,2009 Q3,0,1,0
LASSO,OCMT,2009 Q4,1,1,1
LASSO,OCMT,2010 Q1,0,1,0
LASSO,OCMT,2010 Q2,0,2,0
LASSO,OCMT,2010 Q3,0,2,0
LASSO,OCMT,2010 Q4,1,3,0.3333333333333333
LASSO,OCMT,2011 Q1,0,2,0
LASSO,OCMT,2011 Q2,0,3,0
LASSO,OCMT,2011 Q3,1,2,0.5
LASSO,OCMT,2011 Q4,0,3,0
LASSO,OCMT,2012 Q1,1,3,0.3333333333333333
LASSO,OCMT,2012 Q2,1,3,0.3333333333333333
LASSO,OCMT,2012 Q3,0,3,0
LASSO,OCMT,2012 Q4,0,3,0
LASSO,OCMT,2013 Q1,1,3,0.3333333333333333
LASSO,OCMT,2013 Q2,0,3,0
LASSO,OCMT,2013 Q3,0,3,0
LASSO,OCMT,2013 Q4,1,3,0.3333333333333333
LASSO,OCMT,2014 Q1,0,3,0
LASSO,OCMT,2014 Q2,0,3,0
LASSO,OCMT,2014 Q3,1,3,0.3333333333333333
LASSO,OCMT,2014 Q4,3,4,0.75
LASSO,OCMT,2015 Q1,3,7,0.42857142857142855
LASSO,OCMT,2015 Q2,2,7,0.2857142857142857
LASSO,OCMT,2015 Q3,2,4,0.5
LASSO,OCMT,2015 Q4,2,4,0.5
LASSO,OCMT,2016 Q1,2,5,0.4
LASSO,OCMT,2016 Q2,1,4,0.25
LASSO,OCMT,2016 Q3,1,4,0.25
LASSO,OCMT,2016 Q4,1,4,0.25
LASSO,OCMT,2017 Q1,0,4,0
LASSO,OCMT,2017 Q2,3,4,0.75
LASSO,OCMT,2017 Q3,3,4,0.75
LASSO,OCMT,2017 Q4,0,4,0
LASSO,OCMT,2018 Q1,0,5,0
LASSO,OCMT,2018 Q2,0,5,0
LASSO,OCMT,2018 Q3,1,4,0.25
LASSO,OCMT,2018 Q4,0,6,0
LASSO,OCMT,2019 Q1,0,5,0
LASSO,OCMT,2019 Q2,0,5,0
LASSO,OCMT,2019 Q3,1,4,0.25
Elastic net,LASSO,2005 Q2,4,4,1
Elastic net,LASSO,2005 Q3,0,0,NA
Elastic net,LASSO,2005 Q4,0,0,NA
Elastic net,LASSO,2006 Q1,0,0,NA
Elastic net,LASSO,2006 Q2,1,1,1
Elastic net,LASSO,2006 Q3,2,3,0.6666666666666666
Elastic net,LASSO,2006 Q4,0,1,0
Elastic net,LASSO,2007 Q1,0,0,NA
Elastic net,LASSO,2007 Q2,0,1,0
Elastic net,LASSO,2007 Q3,0,1,0
Elastic net,LASSO,2007 Q4,0,0,NA
Elastic net,LASSO,2008 Q1,2,3,0.6666666666666666
Elastic net,LASSO,2008 Q2,1,2,0.5
Elastic net,LASSO,2008 Q3,0,0,NA
Elastic net,LASSO,2008 Q4,0,0,NA
Elastic net,LASSO,2009 Q1,0,0,NA
Elastic net,LASSO,2009 Q2,0,1,0
Elastic net,LASSO,2009 Q3,0,1,0
Elastic net,LASSO,2009 Q4,0,1,0
Elastic net,LASSO,2010 Q1,0,0,NA
Elastic net,LASSO,2010 Q2,0,0,NA
Elastic net,LASSO,2010 Q3,0,1,0
Elastic net,LASSO,2010 Q4,0,1,0
Elastic net,LASSO,2011 Q1,0,1,0
Elastic net,LASSO,2011 Q2,0,0,NA
Elastic net,LASSO,2011 Q3,1,1,1
Elastic net,LASSO,2011 Q4,0,0,NA
Elastic net,LASSO,2012 Q1,0,1,0
Elastic net,LASSO,2012 Q2,1,1,1
Elastic net,LASSO,2012 Q3,0,0,NA
Elastic net,LASSO,2012 Q4,0,0,NA
Elastic net,LASSO,2013 Q1,1,1,1
Elastic net,LASSO,2013 Q2,0,0,NA
Elastic net,LASSO,2013 Q3,0,0,NA
Elastic net,LASSO,2013 Q4,0,1,0
Elastic net,LASSO,2014 Q1,0,1,0
Elastic net,LASSO,2014 Q2,0,3,0
Elastic net,LASSO,2014 Q3,1,3,0.3333333333333333
Elastic net,LASSO,2014 Q4,3,5,0.6
Elastic net,LASSO,2015 Q1,6,7,0.8571428571428571
Elastic net,LASSO,2015 Q2,6,7,0.8571428571428571
Elastic net,LASSO,2015 Q3,3,5,0.6
Elastic net,LASSO,2015 Q4,3,3,1
Elastic net,LASSO,2016 Q1,3,6,0.5
Elastic net,LASSO,2016 Q2,1,1,1
Elastic net,LASSO,2016 Q3,1,1,1
Elastic net,LASSO,2016 Q4,0,1,0
Elastic net,LASSO,2017 Q1,0,0,NA
Elastic net,LASSO,2017 Q2,3,3,1
Elastic net,LASSO,2017 Q3,3,3,1
Elastic net,LASSO,2017 Q4,0,0,NA
Elastic net,LASSO,2018 Q1,0,0,NA
Elastic net,LASSO,2018 Q2,0,0,NA
Elastic net,LASSO,2018 Q3,0,1,0
Elastic net,LASSO,2018 Q4,0,0,NA
Elastic net,LASSO,2019 Q1,0,0,NA
Elastic net,LASSO,2019 Q2,0,0,NA
Elastic net,LASSO,2019 Q3,1,1,1
Elastic net,Threshold ridge,2005 Q2,4,13,0.3076923076923077
Elastic net,Threshold ridge,2005 Q3,0,14,0
Elastic net,Threshold ridge,2005 Q4,0,14,0
Elastic net,Threshold ridge,2006 Q1,0,17,0
Elastic net,Threshold ridge,2006 Q2,1,13,0.07692307692307693
Elastic net,Threshold ridge,2006 Q3,3,16,0.1875
Elastic net,Threshold ridge,2006 Q4,1,15,0.06666666666666667
Elastic net,Threshold ridge,2007 Q1,0,16,0
Elastic net,Threshold ridge,2007 Q2,0,15,0
Elastic net,Threshold ridge,2007 Q3,0,15,0
Elastic net,Threshold ridge,2007 Q4,0,15,0
Elastic net,Threshold ridge,2008 Q1,3,14,0.21428571428571427
Elastic net,Threshold ridge,2008 Q2,2,15,0.13333333333333333
Elastic net,Threshold ridge,2008 Q3,0,14,0
Elastic net,Threshold ridge,2008 Q4,0,21,0
Elastic net,Threshold ridge,2009 Q1,0,17,0
Elastic net,Threshold ridge,2009 Q2,1,17,0.058823529411764705
Elastic net,Threshold ridge,2009 Q3,1,18,0.05555555555555555
Elastic net,Threshold ridge,2009 Q4,0,16,0
Elastic net,Threshold ridge,2010 Q1,0,19,0
Elastic net,Threshold ridge,2010 Q2,0,18,0
Elastic net,Threshold ridge,2010 Q3,1,17,0.058823529411764705
Elastic net,Threshold ridge,2010 Q4,0,17,0
Elastic net,Threshold ridge,2011 Q1,1,16,0.0625
Elastic net,Threshold ridge,2011 Q2,0,15,0
Elastic net,Threshold ridge,2011 Q3,1,16,0.0625
Elastic net,Threshold ridge,2011 Q4,0,18,0
Elastic net,Threshold ridge,2012 Q1,0,16,0
Elastic net,Threshold ridge,2012 Q2,1,16,0.0625
Elastic net,Threshold ridge,2012 Q3,0,17,0
Elastic net,Threshold ridge,2012 Q4,0,15,0
Elastic net,Threshold ridge,2013 Q1,1,17,0.058823529411764705
Elastic net,Threshold ridge,2013 Q2,0,16,0
Elastic net,Threshold ridge,2013 Q3,0,16,0
Elastic net,Threshold ridge,2013 Q4,0,16,0
Elastic net,Threshold ridge,2014 Q1,1,18,0.05555555555555555
Elastic net,Threshold ridge,2014 Q2,3,17,0.17647058823529413
Elastic net,Threshold ridge,2014 Q3,3,17,0.17647058823529413
Elastic net,Threshold ridge,2014 Q4,5,18,0.2777777777777778
Elastic net,Threshold ridge,2015 Q1,7,16,0.4375
Elastic net,Threshold ridge,2015 Q2,7,18,0.3888888888888889
Elastic net,Threshold ridge,2015 Q3,5,18,0.2777777777777778
Elastic net,Threshold ridge,2015 Q4,3,18,0.16666666666666666
Elastic net,Threshold ridge,2016 Q1,5,17,0.29411764705882354
Elastic net,Threshold ridge,2016 Q2,1,16,0.0625
Elastic net,Threshold ridge,2016 Q3,1,16,0.0625
Elastic net,Threshold ridge,2016 Q4,0,17,0
Elastic net,Threshold ridge,2017 Q1,0,17,0
Elastic net,Threshold ridge,2017 Q2,3,15,0.2
Elastic net,Threshold ridge,2017 Q3,3,16,0.1875
Elastic net,Threshold ridge,2017 Q4,0,16,0
Elastic net,Threshold ridge,2018 Q1,0,17,0
Elastic net,Threshold ridge,2018 Q2,0,17,0
Elastic net,Threshold ridge,2018 Q3,0,14,0
Elastic net,Threshold ridge,2018 Q4,0,15,0
Elastic net,Threshold ridge,2019 Q1,0,15,0
Elastic net,Threshold ridge,2019 Q2,0,15,0
Elastic net,Threshold ridge,2019 Q3,1,15,0.06666666666666667
Elastic net,Post-threshold ridge,2005 Q2,4,13,0.3076923076923077
Elastic net,Post-threshold ridge,2005 Q3,0,14,0
Elastic net,Post-threshold ridge,2005 Q4,0,14,0
Elastic net,Post-threshold ridge,2006 Q1,0,17,0
Elastic net,Post-threshold ridge,2006 Q2,1,13,0.07692307692307693
Elastic net,Post-threshold ridge,2006 Q3,3,16,0.1875
Elastic net,Post-threshold ridge,2006 Q4,1,15,0.06666666666666667
Elastic net,Post-threshold ridge,2007 Q1,0,16,0
Elastic net,Post-threshold ridge,2007 Q2,0,15,0
Elastic net,Post-threshold ridge,2007 Q3,0,15,0
Elastic net,Post-threshold ridge,2007 Q4,0,15,0
Elastic net,Post-threshold ridge,2008 Q1,3,14,0.21428571428571427
Elastic net,Post-threshold ridge,2008 Q2,2,15,0.13333333333333333
Elastic net,Post-threshold ridge,2008 Q3,0,14,0
Elastic net,Post-threshold ridge,2008 Q4,0,21,0
Elastic net,Post-threshold ridge,2009 Q1,0,17,0
Elastic net,Post-threshold ridge,2009 Q2,1,17,0.058823529411764705
Elastic net,Post-threshold ridge,2009 Q3,1,18,0.05555555555555555
Elastic net,Post-threshold ridge,2009 Q4,0,16,0
Elastic net,Post-threshold ridge,2010 Q1,0,19,0
Elastic net,Post-threshold ridge,2010 Q2,0,18,0
Elastic net,Post-threshold ridge,2010 Q3,1,17,0.058823529411764705
Elastic net,Post-threshold ridge,2010 Q4,0,17,0
Elastic net,Post-threshold ridge,2011 Q1,1,16,0.0625
Elastic net,Post-threshold ridge,2011 Q2,0,15,0
Elastic net,Post-threshold ridge,2011 Q3,1,16,0.0625
Elastic net,Post-threshold ridge,2011 Q4,0,18,0
Elastic net,Post-threshold ridge,2012 Q1,0,16,0
Elastic net,Post-threshold ridge,2012 Q2,1,16,0.0625
Elastic net,Post-threshold ridge,2012 Q3,0,17,0
Elastic net,Post-threshold ridge,2012 Q4,0,15,0
Elastic net,Post-threshold ridge,2013 Q1,1,17,0.058823529411764705
Elastic net,Post-threshold ridge,2013 Q2,0,16,0
Elastic net,Post-threshold ridge,2013 Q3,0,16,0
Elastic net,Post-threshold ridge,2013 Q4,0,16,0
Elastic net,Post-threshold ridge,2014 Q1,1,18,0.05555555555555555
Elastic net,Post-threshold ridge,2014 Q2,3,17,0.17647058823529413
Elastic net,Post-threshold ridge,2014 Q3,3,17,0.17647058823529413
Elastic net,Post-threshold ridge,2014 Q4,5,18,0.2777777777777778
Elastic net,Post-threshold ridge,2015 Q1,7,16,0.4375
Elastic net,Post-threshold ridge,2015 Q2,7,18,0.3888888888888889
Elastic net,Post-threshold ridge,2015 Q3,5,18,0.2777777777777778
Elastic net,Post-threshold ridge,2015 Q4,3,18,0.16666666666666666
Elastic net,Post-threshold ridge,2016 Q1,5,17,0.29411764705882354
Elastic net,Post-threshold ridge,2016 Q2,1,16,0.0625
Elastic net,Post-threshold ridge,2016 Q3,1,16,0.0625
Elastic net,Post-threshold ridge,2016 Q4,0,17,0
Elastic net,Post-threshold ridge,2017 Q1,0,17,0
Elastic net,Post-threshold ridge,2017 Q2,3,15,0.2
Elastic net,Post-threshold ridge,2017 Q3,3,16,0.1875
Elastic net,Post-threshold ridge,2017 Q4,0,16,0
Elastic net,Post-threshold ridge,2018 Q1,0,17,0
Elastic net,Post-threshold ridge,2018 Q2,0,17,0
Elastic net,Post-threshold ridge,2018 Q3,0,14,0
Elastic net,Post-threshold ridge,2018 Q4,0,15,0
Elastic net,Post-threshold ridge,2019 Q1,0,15,0
Elastic net,Post-threshold ridge,2019 Q2,0,15,0
Elastic net,Post-threshold ridge,2019 Q3,1,15,0.06666666666666667
Elastic net,OCMT,2005 Q2,2,4,0.5
Elastic net,OCMT,2005 Q3,0,2,0
Elastic net,OCMT,2005 Q4,0,2,0
Elastic net,OCMT,2006 Q1,0,2,0
Elastic net,OCMT,2006 Q2,1,2,0.5
Elastic net,OCMT,2006 Q3,1,3,0.3333333333333333
Elastic net,OCMT,2006 Q4,1,2,0.5
Elastic net,OCMT,2007 Q1,0,2,0
Elastic net,OCMT,2007 Q2,0,2,0
Elastic net,OCMT,2007 Q3,0,2,0
Elastic net,OCMT,2007 Q4,0,1,0
Elastic net,OCMT,2008 Q1,1,3,0.3333333333333333
Elastic net,OCMT,2008 Q2,2,2,1
Elastic net,OCMT,2008 Q3,0,1,0
Elastic net,OCMT,2008 Q4,0,2,0
Elastic net,OCMT,2009 Q1,0,2,0
Elastic net,OCMT,2009 Q2,0,3,0
Elastic net,OCMT,2009 Q3,0,2,0
Elastic net,OCMT,2009 Q4,0,1,0
Elastic net,OCMT,2010 Q1,0,1,0
Elastic net,OCMT,2010 Q2,0,2,0
Elastic net,OCMT,2010 Q3,1,2,0.5
Elastic net,OCMT,2010 Q4,0,3,0
Elastic net,OCMT,2011 Q1,1,2,0.5
Elastic net,OCMT,2011 Q2,0,3,0
Elastic net,OCMT,2011 Q3,1,2,0.5
Elastic net,OCMT,2011 Q4,0,3,0
Elastic net,OCMT,2012 Q1,0,3,0
Elastic net,OCMT,2012 Q2,1,3,0.3333333333333333
Elastic net,OCMT,2012 Q3,0,3,0
Elastic net,OCMT,2012 Q4,0,3,0
Elastic net,OCMT,2013 Q1,1,3,0.3333333333333333
Elastic net,OCMT,2013 Q2,0,3,0
Elastic net,OCMT,2013 Q3,0,3,0
Elastic net,OCMT,2013 Q4,0,3,0
Elastic net,OCMT,2014 Q1,1,3,0.3333333333333333
Elastic net,OCMT,2014 Q2,2,4,0.5
Elastic net,OCMT,2014 Q3,2,4,0.5
Elastic net,OCMT,2014 Q4,3,6,0.5
Elastic net,OCMT,2015 Q1,4,7,0.5714285714285714
Elastic net,OCMT,2015 Q2,3,7,0.42857142857142855
Elastic net,OCMT,2015 Q3,2,6,0.3333333333333333
Elastic net,OCMT,2015 Q4,2,4,0.5
Elastic net,OCMT,2016 Q1,3,5,0.6
Elastic net,OCMT,2016 Q2,1,4,0.25
Elastic net,OCMT,2016 Q3,1,4,0.25
Elastic net,OCMT,2016 Q4,0,4,0
Elastic net,OCMT,2017 Q1,0,4,0
Elastic net,OCMT,2017 Q2,3,4,0.75
Elastic net,OCMT,2017 Q3,3,4,0.75
Elastic net,OCMT,2017 Q4,0,4,0
Elastic net,OCMT,2018 Q1,0,5,0
Elastic net,OCMT,2018 Q2,0,5,0
Elastic net,OCMT,2018 Q3,0,4,0
Elastic net,OCMT,2018 Q4,0,6,0
Elastic net,OCMT,2019 Q1,0,5,0
Elastic net,OCMT,2019 Q2,0,5,0
Elastic net,OCMT,2019 Q3,1,4,0.25
Post-threshold ridge,Threshold ridge,2005 Q2,13,13,1
Post-threshold ridge,Threshold ridge,2005 Q3,14,14,1
Post-threshold ridge,Threshold ridge,2005 Q4,14,14,1
Post-threshold ridge,Threshold ridge,2006 Q1,17,17,1
Post-threshold ridge,Threshold ridge,2006 Q2,13,13,1
Post-threshold ridge,Threshold ridge,2006 Q3,16,16,1
Post-threshold ridge,Threshold ridge,2006 Q4,15,15,1
Post-threshold ridge,Threshold ridge,2007 Q1,16,16,1
Post-threshold ridge,Threshold ridge,2007 Q2,15,15,1
Post-threshold ridge,Threshold ridge,2007 Q3,15,15,1
Post-threshold ridge,Threshold ridge,2007 Q4,15,15,1
Post-threshold ridge,Threshold ridge,2008 Q1,14,14,1
Post-threshold ridge,Threshold ridge,2008 Q2,15,15,1
Post-threshold ridge,Threshold ridge,2008 Q3,14,14,1
Post-threshold ridge,Threshold ridge,2008 Q4,21,21,1
Post-threshold ridge,Threshold ridge,2009 Q1,17,17,1
Post-threshold ridge,Threshold ridge,2009 Q2,17,17,1
Post-threshold ridge,Threshold ridge,2009 Q3,18,18,1
Post-threshold ridge,Threshold ridge,2009 Q4,16,16,1
Post-threshold ridge,Threshold ridge,2010 Q1,19,19,1
Post-threshold ridge,Threshold ridge,2010 Q2,18,18,1
Post-threshold ridge,Threshold ridge,2010 Q3,17,17,1
Post-threshold ridge,Threshold ridge,2010 Q4,17,17,1
Post-threshold ridge,Threshold ridge,2011 Q1,16,16,1
Post-threshold ridge,Threshold ridge,2011 Q2,15,15,1
Post-threshold ridge,Threshold ridge,2011 Q3,16,16,1
Post-threshold ridge,Threshold ridge,2011 Q4,18,18,1
Post-threshold ridge,Threshold ridge,2012 Q1,16,16,1
Post-threshold ridge,Threshold ridge,2012 Q2,16,16,1
Post-threshold ridge,Threshold ridge,2012 Q3,17,17,1
Post-threshold ridge,Threshold ridge,2012 Q4,15,15,1
Post-threshold ridge,Threshold ridge,2013 Q1,17,17,1
Post-threshold ridge,Threshold ridge,2013 Q2,16,16,1
Post-threshold ridge,Threshold ridge,2013 Q3,16,16,1
Post-threshold ridge,Threshold ridge,2013 Q4,16,16,1
Post-threshold ridge,Threshold ridge,2014 Q1,18,18,1
Post-threshold ridge,Threshold ridge,2014 Q2,17,17,1
Post-threshold ridge,Threshold ridge,2014 Q3,17,17,1
Post-threshold ridge,Threshold ridge,2014 Q4,18,18,1
Post-threshold ridge,Threshold ridge,2015 Q1,16,16,1
Post-threshold ridge,Threshold ridge,2015 Q2,18,18,1
Post-threshold ridge,Threshold ridge,2015 Q3,18,18,1
Post-threshold ridge,Threshold ridge,2015 Q4,18,18,1
Post-threshold ridge,Threshold ridge,2016 Q1,17,17,1
Post-threshold ridge,Threshold ridge,2016 Q2,16,16,1
Post-threshold ridge,Threshold ridge,2016 Q3,16,16,1
Post-threshold ridge,Threshold ridge,2016 Q4,17,17,1
Post-threshold ridge,Threshold ridge,2017 Q1,17,17,1
Post-threshold ridge,Threshold ridge,2017 Q2,15,15,1
Post-threshold ridge,Threshold ridge,2017 Q3,16,16,1
Post-threshold ridge,Threshold ridge,2017 Q4,16,16,1
Post-threshold ridge,Threshold ridge,2018 Q1,17,17,1
Post-threshold ridge,Threshold ridge,2018 Q2,17,17,1
Post-threshold ridge,Threshold ridge,2018 Q3,14,14,1
Post-threshold ridge,Threshold ridge,2018 Q4,15,15,1
Post-threshold ridge,Threshold ridge,2019 Q1,15,15,1
Post-threshold ridge,Threshold ridge,2019 Q2,15,15,1
Post-threshold ridge,Threshold ridge,2019 Q3,15,15,1
OCMT,Threshold ridge,2005 Q2,2,13,0.15384615384615385
OCMT,Threshold ridge,2005 Q3,2,14,0.14285714285714285
OCMT,Threshold ridge,2005 Q4,2,14,0.14285714285714285
OCMT,Threshold ridge,2006 Q1,2,17,0.11764705882352941
OCMT,Threshold ridge,2006 Q2,2,13,0.15384615384615385
OCMT,Threshold ridge,2006 Q3,1,16,0.0625
OCMT,Threshold ridge,2006 Q4,2,15,0.13333333333333333
OCMT,Threshold ridge,2007 Q1,2,16,0.125
OCMT,Threshold ridge,2007 Q2,2,15,0.13333333333333333
OCMT,Threshold ridge,2007 Q3,2,15,0.13333333333333333
OCMT,Threshold ridge,2007 Q4,1,15,0.06666666666666667
OCMT,Threshold ridge,2008 Q1,1,14,0.07142857142857142
OCMT,Threshold ridge,2008 Q2,2,15,0.13333333333333333
OCMT,Threshold ridge,2008 Q3,1,14,0.07142857142857142
OCMT,Threshold ridge,2008 Q4,2,21,0.09523809523809523
OCMT,Threshold ridge,2009 Q1,2,17,0.11764705882352941
OCMT,Threshold ridge,2009 Q2,2,17,0.11764705882352941
OCMT,Threshold ridge,2009 Q3,1,18,0.05555555555555555
OCMT,Threshold ridge,2009 Q4,1,16,0.0625
OCMT,Threshold ridge,2010 Q1,1,19,0.05263157894736842
OCMT,Threshold ridge,2010 Q2,2,18,0.1111111111111111
OCMT,Threshold ridge,2010 Q3,2,17,0.11764705882352941
OCMT,Threshold ridge,2010 Q4,3,17,0.17647058823529413
OCMT,Threshold ridge,2011 Q1,2,16,0.125
