method,horizon,forecast_quarter,target_quarter,train_start,train_end,actual,forecast,forecast_error,squared_error,absolute_error,selected_variables,lambda,forecast_quarter_yq,target_quarter_yq,forecast_quarter_date,target_quarter_date,benchmark_squared_error,loss_difference_vs_benchmark,cumulative_loss_difference_vs_benchmark
AR,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,-0.42767755900321447,0.714301761972539,-1.1419793209757536,1.3041167695362432,1.1419793209757536,0,NA,2007 Q4,2008 Q1,2007-10-01,2008-01-01,1.1087684685498955,0.1953483009863477,-0.27684407406763795
AR,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,0.5936625931315831,0.4272410388315812,0.16642155430000188,0.02769613373562847,0.16642155430000188,0,NA,2008 Q1,2008 Q2,2008-01-01,2008-04-01,0.09110912331670594,-0.06341298958107747,-0.34025706364871544
AR,1,2008 Q2,2008 Q3,1988 Q2,2008 Q1,-0.5266423802783748,0.6883598154393776,-1.2150021957177524,1.4762303355989594,1.2150021957177524,0,NA,2008 Q2,2008 Q3,2008-04-01,2008-07-01,1.3906591226459306,0.08557121295302883,-0.2546858506956866
AR,1,2008 Q3,2008 Q4,1988 Q3,2008 Q2,-2.2133412739485436,0.3680767255615691,-2.581417999510113,6.6637188881947935,2.581417999510113,0,NA,2008 Q3,2008 Q4,2008-07-01,2008-10-01,6.515500209282223,0.14821867891257057,-0.10646717178311604
AR,1,2008 Q4,2009 Q1,1988 Q4,2008 Q3,-1.1413631359902254,-0.5536528918499409,-0.5877102441402845,0.3454033310674328,0.5877102441402845,0,NA,2008 Q4,2009 Q1,2008-10-01,2009-01-01,0.8061338086757067,-0.4607304776082739,-0.56719764939139
AR,1,2009 Q1,2009 Q2,1989 Q1,2008 Q4,-0.178810721762801,-0.2105740637132053,0.03176334195040431,0.00100890989185831,0.03176334195040431,0,NA,2009 Q1,2009 Q2,2009-01-01,2009-04-01,1.8256313461775848,-1.8246224362857266,-2.3918200856771166
AR,1,2009 Q2,2009 Q3,1989 Q2,2009 Q1,0.3505771547139602,0.2439452595686859,0.10663189514527432,0.01137036106227277,0.10663189514527432,0,NA,2009 Q2,2009 Q3,2009-04-01,2009-07-01,0.9999651626576904,-0.9885948015954177,-3.380414887272534
AR,1,2009 Q3,2009 Q4,1989 Q3,2009 Q2,1.0751135379244658,0.4936407124969944,0.5814728254274715,0.3381106467106067,0.5814728254274715,0,NA,2009 Q3,2009 Q4,2009-07-01,2009-10-01,0.9196532832866808,-0.5815426365760741,-3.9619575238486084
AR,1,2009 Q4,2010 Q1,1989 Q4,2009 Q3,0.483331022067901,0.8433914047278321,-0.3600603826599311,0.12964347916121602,0.3600603826599311,0,NA,2009 Q4,2010 Q1,2009-10-01,2010-01-01,0.11525728116356691,0.014386197997649106,-3.947571325850959
AR,1,2010 Q1,2010 Q2,1990 Q1,2009 Q4,0.9629349822608546,0.55602253860718,0.4069124436536746,0.16557773680020493,0.4069124436536746,0,NA,2010 Q1,2010 Q2,2010-01-01,2010-04-01,0.06837269994289381,0.09720503685731112,-3.8503662889936483
AR,1,2010 Q2,2010 Q3,1990 Q2,2010 Q1,0.7681272705003295,0.7925764935416106,-0.02444922304128116,5.977645073223138e-4,0.02444922304128116,0,NA,2010 Q2,2010 Q3,2010-04-01,2010-07-01,1.0413356954573508e-4,4.936309377765787e-4,-3.8498726580558715
AR,1,2010 Q3,2010 Q4,1990 Q3,2010 Q2,0.523736364445071,0.7054311543456171,-0.1816947899005461,0.03301299667700359,0.1816947899005461,0,NA,2010 Q3,2010 Q4,2010-07-01,2010-10-01,0.01914589012218131,0.013867106554822279,-3.8360055515010494
AR,1,2010 Q4,2011 Q1,1990 Q4,2010 Q3,-0.23748667360496967,0.6076206809275714,-0.845107354532541,0.7142064406849901,0.845107354532541,0,NA,2010 Q4,2011 Q1,2010-10-01,2011-01-01,0.6436374085868849,0.07056903209810517,-3.765436519402944
AR,1,2011 Q1,2011 Q2,1991 Q1,2010 Q4,0.6743037468666557,0.27954074008711616,0.3947630067795396,0.1558378315216228,0.3947630067795396,0,NA,2011 Q1,2011 Q2,2011-01-01,2011-04-01,0.22113574906690375,-0.06529791754528094,-3.8307344369482252
AR,1,2011 Q2,2011 Q3,1991 Q2,2011 Q1,-0.0223152255784953,0.666927330657163,-0.6892425562356583,0.4750553013262646,0.6892425562356583,0,NA,2011 Q2,2011 Q3,2011-04-01,2011-07-01,0.5483141650010498,-0.07325886367478518,-3.9039933006230103
AR,1,2011 Q3,2011 Q4,1991 Q3,2011 Q2,1.1167896811464573,0.35565271770210366,0.7611369634443537,0.5793294771212913,0.7611369634443537,0,NA,2011 Q3,2011 Q4,2011-07-01,2011-10-01,0.30253225372506554,0.2767972233962258,-3.6271960772267846
AR,1,2011 Q4,2012 Q1,1991 Q4,2011 Q3,0.8350941818790147,0.8592791060814088,-0.02418492420239404,5.849105586755451e-4,0.02418492420239404,0,NA,2011 Q4,2012 Q1,2011-10-01,2012-01-01,2.784295819462502e-5,5.5706760048092e-4,-3.6266390096263033
AR,1,2012 Q1,2012 Q2,1992 Q1,2011 Q4,0.4453416266322563,0.7333096970885221,-0.2879680704562658,0.08292560960230488,0.2879680704562658,0,NA,2012 Q1,2012 Q2,2012-01-01,2012-04-01,0.05719949032628204,0.025726119276022842,-3.6009128903502807
AR,1,2012 Q2,2012 Q3,1992 Q2,2012 Q1,0.14392437648620415,0.5619163455170932,-0.4179919690308891,0.17471728617431975,0.4179919690308891,0,NA,2012 Q2,2012 Q3,2012-04-01,2012-07-01,0.08785704488064057,0.08686024129367918,-3.5140526490566013
AR,1,2012 Q3,2012 Q4,1992 Q3,2012 Q2,0.11557374157504796,0.4271815670485961,-0.31160782547354815,0.09709943689635324,0.31160782547354815,0,NA,2012 Q3,2012 Q4,2012-07-01,2012-10-01,0.09401124405296764,0.003088192843385601,-3.5109644562132156
AR,1,2012 Q4,2013 Q1,1992 Q4,2012 Q3,0.9817259265515688,0.4069687542279763,0.5747571723235925,0.3303458071374118,0.5747571723235925,0,NA,2012 Q4,2013 Q1,2012-10-01,2013-01-01,0.20778737269289163,0.12255843444452016,-3.3884060217686955
AR,1,2013 Q1,2013 Q2,1993 Q1,2012 Q4,0.26727882651371715,0.7897138607589269,-0.5224350342452098,0.27293836500679347,0.5224350342452098,0,NA,2013 Q1,2013 Q2,2013-01-01,2013-04-01,0.03090845844340353,0.24202990656338993,-3.146376115205306
AR,1,2013 Q2,2013 Q3,1993 Q2,2013 Q1,0.8477896552497199,0.4800836632069644,0.3677059920427555,0.13520769658414702,0.3677059920427555,0,NA,2013 Q2,2013 Q3,2013-04-01,2013-07-01,0.05517680541854252,0.0800308911656045,-3.066345224039701
AR,1,2013 Q3,2013 Q4,1993 Q3,2013 Q2,0.8679640238263175,0.7293240656373831,0.1386399581889345,0.0192210380066295,0.1386399581889345,0,NA,2013 Q3,2013 Q4,2013-07-01,2013-10-01,0.08283300846693481,-0.06361197046030531,-3.1299571945000064
AR,1,2013 Q4,2014 Q1,1993 Q4,2013 Q3,-0.34569281496601434,0.7308597424533227,-1.076552557419337,1.158965408886115,1.076552557419337,0,NA,2013 Q4,2014 Q1,2013-10-01,2014-01-01,0.7358625825932555,0.42310282629285945,-2.7068543682071473
AR,1,2014 Q1,2014 Q2,1994 Q1,2013 Q4,1.283569022914932,0.21512370614864024,1.0684453167662915,1.1415753949198215,1.0684453167662915,0,NA,2014 Q1,2014 Q2,2014-01-01,2014-04-01,0.3866418743919271,0.7549335205278944,-1.9519208476792527
AR,1,2014 Q2,2014 Q3,1994 Q2,2014 Q1,1.2080648325781596,0.8665801380616445,0.3414846945165151,0.11661179658903764,0.3414846945165151,0,NA,2014 Q2,2014 Q3,2014-04-01,2014-07-01,0.2816905417081888,-0.16507874511915116,-2.116999592798404
AR,1,2014 Q3,2014 Q4,1994 Q3,2014 Q2,0.5044586015433339,0.8547804185543187,-0.35032181701098486,0.12272537547387796,0.35032181701098486,0,NA,2014 Q3,2014 Q4,2014-07-01,2014-10-01,0.00449736374121739,0.11822801173266057,-1.9987715810657434
AR,1,2014 Q4,2015 Q1,1994 Q4,2014 Q3,0.8964547876924911,0.5718802199837122,0.3245745677087789,0.1053486500033407,0.3245745677087789,0,NA,2014 Q4,2015 Q1,2014-10-01,2015-01-01,0.16878505164887783,-0.06343640164553713,-2.0622079827112803
AR,1,2015 Q1,2015 Q2,1995 Q1,2014 Q4,0.6174946582536478,0.7331347347123862,-0.11564007645873842,0.01337262728338286,0.11564007645873842,0,NA,2015 Q1,2015 Q2,2015-01-01,2015-04-01,0.01950304426770897,-0.00613041698432611,-2.0683383996956066
AR,1,2015 Q2,2015 Q3,1995 Q2,2015 Q1,0.3994462115690211,0.6262341168649214,-0.22678790529590023,0.05143275398850222,0.22678790529590023,0,NA,2015 Q2,2015 Q3,2015-04-01,2015-07-01,3.206239560097467e-4,0.05111213003249247,-2.017226269663114
AR,1,2015 Q3,2015 Q4,1995 Q3,2015 Q2,0.18430917271050615,0.5342461517980049,-0.34993697908749877,0.12245588933288457,0.34993697908749877,0,NA,2015 Q3,2015 Q4,2015-07-01,2015-10-01,0.05793496366583669,0.06452092566704787,-1.9527053439960662
AR,1,2015 Q4,2016 Q1,1995 Q4,2015 Q3,0.5778466518471248,0.44541655145168496,0.13243010039543984,0.01753773149074627,0.13243010039543984,0,NA,2015 Q4,2016 Q1,2015-10-01,2016-01-01,2.389158194959173e-4,0.017298815671250353,-1.9354065283248159
AR,1,2016 Q1,2016 Q2,1996 Q1,2015 Q4,0.32060956626729364,0.599917452510098,-0.27930788624280434,0.07801289531742332,0.27930788624280434,0,NA,2016 Q1,2016 Q2,2016-01-01,2016-04-01,0.06073497168000197,0.017277923637421352,-1.9181286046873944
AR,1,2016 Q2,2016 Q3,1996 Q2,2016 Q1,0.7068859191104337,0.48492681866685394,0.2219591004435798,0.04926584226972315,0.2219591004435798,0,NA,2016 Q2,2016 Q3,2016-04-01,2016-07-01,0.00681300424428651,0.04245283802543664,-1.875675766661958
AR,1,2016 Q3,2016 Q4,1996 Q3,2016 Q2,0.5527685286210726,0.6382916723896335,-0.08552314376856085,0.00731420812005792,0.08552314376856085,0,NA,2016 Q3,2016 Q4,2016-07-01,2016-10-01,0.01766000563484334,-0.01034579751478542,-1.8860215641767433
AR,1,2016 Q4,2017 Q1,1996 Q4,2016 Q3,0.48570873310360696,0.5736057734697341,-0.08789704036612711,0.00772588970512457,0.08789704036612711,0,NA,2016 Q4,2017 Q1,2016-10-01,2017-01-01,0.0072450981058855,4.807915992390702e-4,-1.8855407725775042
AR,1,2017 Q1,2017 Q2,1997 Q1,2016 Q4,0.5583111012978037,0.5479942892032003,0.01031681209460344,1.0643661179535592e-4,0.01031681209460344,0,NA,2017 Q1,2017 Q2,2017-01-01,2017-04-01,9.453041836464414e-4,-8.388675718510854e-4,-1.8863796401493553
AR,1,2017 Q2,2017 Q3,1997 Q2,2017 Q1,0.785431525684821,0.5631671909244266,0.2222643347603944,0.04940143450648068,0.2222643347603944,0,NA,2017 Q2,2017 Q3,2017-04-01,2017-07-01,0.01504860632069269,0.034352828185787984,-1.8520268119635672
AR,1,2017 Q3,2017 Q4,1997 Q3,2017 Q2,1.1207427769393874,0.647959802348969,0.4727829745904184,0.2235237410625642,0.4727829745904184,0,NA,2017 Q3,2017 Q4,2017-07-01,2017-10-01,0.37668580921871214,-0.15316206815614794,-2.0051888801197153
AR,1,2017 Q4,2018 Q1,1997 Q4,2017 Q3,0.8101194549169577,0.78060709964320385,0.02951235527375384,8.709791138042663e-4,0.02951235527375384,0,NA,2017 Q4,2018 Q1,2017-10-01,2018-01-01,0.0029890630054333,-0.002118083891629034,-2.0073069640113443
AR,1,2018 Q1,2018 Q2,1998 Q1,2017 Q4,0.5294212303768475,0.6591687132181469,-0.12974748284129933,0.01683440930365326,0.12974748284129933,0,NA,2018 Q1,2018 Q2,2018-01-01,2018-04-01,0.00460965790934936,0.012224751394303901,-1.9950822126170404
AR,1,2018 Q2,2018 Q3,1998 Q2,2018 Q1,0.621760482522582,0.5500714850457863,0.07168899747679569,0.00513931235922801,0.07168899747679569,0,NA,2018 Q2,2018 Q3,2018-04-01,2018-07-01,8.501439058101168e-5,0.005054297968646999,-1.9900279146483935
AR,1,2018 Q3,2018 Q4,1998 Q3,2018 Q2,0.14154399831838305,0.5779009777366699,-0.4363569794182869,0.19040741348705123,0.4363569794182869,0,NA,2018 Q3,2018 Q4,2018-07-01,2018-10-01,0.19391764919335716,-0.003510235706305931,-1.9935381503546994
AR,1,2018 Q4,2019 Q1,1998 Q4,2018 Q3,0.6223772907267389,0.3959524233138352,0.22642486741290369,0.05126822058295101,0.22642486741290369,0,NA,2018 Q4,2019 Q1,2018-10-01,2019-01-01,0.13062632460168394,-0.07935810401873293,-2.072896254373432
AR,1,2019 Q1,2019 Q2,1999 Q1,2018 Q4,0.8316777932895647,0.5634725226895501,0.26820527060001464,0.07193406717762708,0.26820527060001464,0,NA,2019 Q1,2019 Q2,2019-01-01,2019-04-01,0.16822438613442128,-0.0962903189567942,-2.1691865733302262
AR,1,2019 Q2,2019 Q3,1999 Q2,2019 Q1,1.1632102580909631,0.635453094259178,0.5277571638317852,0.27852762397576974,0.5277571638317852,0,NA,2019 Q2,2019 Q3,2019-04-01,2019-07-01,0.4169316105158421,-0.13840398654007235,-2.307590559870299
AR,1,2019 Q3,2019 Q4,1999 Q3,2019 Q2,0.6795635968053659,0.7446126216362807,-0.06504902483091479,0.00423137563145296,0.06504902483091479,0,NA,2019 Q3,2019 Q4,2019-07-01,2019-10-01,0.00141190353626699,0.00281947209518597,-2.3047710877751126
LASSO,1,2005 Q2,2005 Q3,1985 Q2,2005 Q1,0.7807581701131383,0.735332505813675,0.04542566429946326,0.00206349097704753,0.04542566429946326,4,0.1367432087761957,2005 Q2,2005 Q3,2005-04-01,2005-07-01,0.00474387800496578,-0.0026803870279182504,-0.0026803870279182504
LASSO,1,2005 Q3,2005 Q4,1985 Q3,2005 Q2,0.5539792372076136,0.7773315465225326,-0.223352309314919,0.04988625407630726,0.223352309314919,0,0.19943344082579925,2005 Q3,2005 Q4,2005-07-01,2005-10-01,0.0260935155112909,0.023792738565016357,0.021112351537098107
LASSO,1,2005 Q4,2006 Q1,1985 Q4,2005 Q3,1.3364138447713003,0.721447028135436,0.6149668166358643,0.37818418556324873,0.6149668166358643,0,0.19802257598932776,2005 Q4,2006 Q1,2005-10-01,2006-01-01,0.37911760314926873,-9.334175860200022e-4,0.020178933951078105
LASSO,1,2006 Q1,2006 Q2,1986 Q1,2005 Q4,0.25841857488995146,0.9158363404196516,-0.6574177655297,0.4321981184340636,0.6574177655297,0,0.20085062303140144,2006 Q1,2006 Q2,2006-01-01,2006-04-01,0.6344324327417866,-0.20223431430772304,-0.18205538035664492
LASSO,1,2006 Q2,2006 Q3,1986 Q2,2006 Q1,0.14984360400802643,0.6621032126001023,-0.5122596085920759,0.26240990659490676,0.5122596085920759,1,0.1994447804224923,2006 Q2,2006 Q3,2006-04-01,2006-07-01,0.5483182014025342,-0.2859082948076274,-0.46796367516427234
LASSO,1,2006 Q3,2006 Q4,1986 Q3,2006 Q2,0.8557775565416037,0.5850978087892383,0.27067974775236536,0.07326752584328414,0.27067974775236536,2,0.16948475366466492,2006 Q3,2006 Q4,2006-07-01,2006-10-01,0.11961920736403112,-0.04635168152074698,-0.5143153566850194
LASSO,1,2006 Q4,2007 Q1,1986 Q4,2006 Q3,0.3003840617131104,0.7938921818854955,-0.4935081201723851,0.2435502646760813,0.4935081201723851,0,0.19882187553958072,2006 Q4,2007 Q1,2006-10-01,2007-01-01,0.2167264115983789,0.02682385307770238,-0.48749150360731697
LASSO,1,2007 Q1,2007 Q2,1987 Q1,2006 Q4,0.6098982914680917,0.6569153426264105,-0.04701705115831878,0.00221060309962396,0.04701705115831878,0,0.1948258339506912,2007 Q1,2007 Q2,2007-01-01,2007-04-01,0.00275419112676799,-5.435880271440299e-4,-0.48803509163446096
LASSO,1,2007 Q2,2007 Q3,1987 Q2,2007 Q1,0.5743731109307149,0.7248639511377954,-0.1504908402070806,0.02264749298623306,0.1504908402070806,1,0.19415949478829528,2007 Q2,2007 Q3,2007-04-01,2007-07-01,9.266112481082908e-5,0.02255483186142223,-0.46548025977303875
LASSO,1,2007 Q3,2007 Q4,1987 Q3,2007 Q2,0.6262715512194816,0.7141006442871183,-0.08782909306763664,0.00771394958908357,0.08782909306763664,1,0.19424327650130052,2007 Q3,2007 Q4,2007-07-01,2007-10-01,8.248969525287806e-5,0.007631459893830692,-0.45784879987920807
LASSO,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,-0.42767755900321447,0.714301761972539,-1.1419793209757536,1.3041167695362432,1.1419793209757536,0,0.1832647504016869,2007 Q4,2008 Q1,2007-10-01,2008-01-01,1.1087684685498955,0.1953483009863477,-0.26250049889286037
LASSO,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,0.5936625931315831,0.448312653402871,0.14534993972871207,0.02112660497914023,0.14534993972871207,2,0.15007104801220916,2008 Q1,2008 Q2,2008-01-01,2008-04-01,0.09110912331670594,-0.0699825183375657,-0.33248301723042606
LASSO,1,2008 Q2,2008 Q3,1988 Q2,2008 Q1,-0.5266423802783748,0.6883598154393775,-1.2150021957177524,1.4762303355989594,1.2150021957177524,1,0.19489748437592405,2008 Q2,2008 Q3,2008-04-01,2008-07-01,1.3906591226459306,0.08557121295302883,-0.24691180427739723
LASSO,1,2008 Q3,2008 Q4,1988 Q3,2008 Q2,-2.2133412739485436,0.3680767255615692,-2.581417999510113,6.6637188881947935,2.581417999510113,0,0.19434461560385985,2008 Q3,2008 Q4,2008-07-01,2008-10-01,6.515500209282223,0.14821867891257057,-0.09869312536482666
LASSO,1,2008 Q4,2009 Q1,1988 Q4,2008 Q3,-1.1413631359902254,-0.5536528918499415,-0.5877102441402839,0.34540333106743215,0.5877102441402839,0,0.20226236973680004,2008 Q4,2009 Q1,2008-10-01,2009-01-01,0.8061338086757067,-0.46073047760827457,-0.5594236029731012
LASSO,1,2009 Q1,2009 Q2,1989 Q1,2008 Q4,-0.178810721762801,-0.21057406371320508,0.03176334195040409,0.0010089098918583,0.03176334195040409,0,0.19398533191908676,2009 Q1,2009 Q2,2009-01-01,2009-04-01,1.8256313461775848,-1.8246224362857266,-2.384046039258828
LASSO,1,2009 Q2,2009 Q3,1989 Q2,2009 Q1,0.3505771547139602,0.24394525956868607,0.10663189514527416,0.01137036106227274,0.10663189514527416,0,0.19074344997431616,2009 Q2,2009 Q3,2009-04-01,2009-07-01,0.9999651626576904,-0.9885948015954177,-3.3726408408542454
LASSO,1,2009 Q3,2009 Q4,1989 Q3,2009 Q2,1.0751135379244658,0.4936407124969944,0.5814728254274715,0.3381106467106067,0.5814728254274715,0,0.1903672475025026,2009 Q3,2009 Q4,2009-07-01,2009-10-01,0.9196532832866808,-0.5815426365760741,-3.9541834774303197
LASSO,1,2009 Q4,2010 Q1,1989 Q4,2009 Q3,0.483331022067901,0.843391404727832,-0.360060382659931,0.12964347916121594,0.360060382659931,1,0.18414080255049753,2009 Q4,2010 Q1,2009-10-01,2010-01-01,0.11525728116356691,0.014386197997649022,-3.9397972794326708
LASSO,1,2010 Q1,2010 Q2,1990 Q1,2009 Q4,0.9629349822608546,0.5560225386071801,0.4069124436536745,0.16557773680020485,0.4069124436536745,0,0.1821179008311374,2010 Q1,2010 Q2,2010-01-01,2010-04-01,0.06837269994289381,0.09720503685731104,-3.8425922425753596
LASSO,1,2010 Q2,2010 Q3,1990 Q2,2010 Q1,0.7681272705003295,0.7925764935416104,-0.02444922304128094,5.97764507322303e-4,0.02444922304128094,0,0.18380914639755225,2010 Q2,2010 Q3,2010-04-01,2010-07-01,1.0413356954573508e-4,4.936309377765679e-4,-3.842098611637583
LASSO,1,2010 Q3,2010 Q4,1990 Q3,2010 Q2,0.523736364445071,0.7054311543456173,-0.18169478990054633,0.03301299667700367,0.18169478990054633,0,0.1844173182172027,2010 Q3,2010 Q4,2010-07-01,2010-10-01,0.01914589012218131,0.013867106554822362,-3.8282315050827607
LASSO,1,2010 Q4,2011 Q1,1990 Q4,2010 Q3,-0.23748667360496967,0.6076206809275714,-0.845107354532541,0.7142064406849901,0.845107354532541,1,0.19199296256890225,2010 Q4,2011 Q1,2010-10-01,2011-01-01,0.6436374085868849,0.07056903209810517,-3.7576624729846553
LASSO,1,2011 Q1,2011 Q2,1991 Q1,2010 Q4,0.6743037468666557,0.27954074008711594,0.3947630067795398,0.15583783152162298,0.3947630067795398,0,0.19484994687998017,2011 Q1,2011 Q2,2011-01-01,2011-04-01,0.22113574906690375,-0.06529791754528078,-3.822960390529936
LASSO,1,2011 Q2,2011 Q3,1991 Q2,2011 Q1,-0.0223152255784953,0.666927330657163,-0.6892425562356583,0.4750553013262646,0.6892425562356583,0,0.2003846340717529,2011 Q2,2011 Q3,2011-04-01,2011-07-01,0.5483141650010498,-0.07325886367478518,-3.8962192542047216
LASSO,1,2011 Q3,2011 Q4,1991 Q3,2011 Q2,1.1167896811464573,0.3556527177021039,0.7611369634443534,0.579329477121291,0.7611369634443534,1,0.2066120133022976,2011 Q3,2011 Q4,2011-07-01,2011-10-01,0.30253225372506554,0.2767972233962255,-3.619422030808496
LASSO,1,2011 Q4,2012 Q1,1991 Q4,2011 Q3,0.8350941818790147,0.8592791060814087,-0.02418492420239393,5.849105586755398e-4,0.02418492420239393,0,0.21686039665459808,2011 Q4,2012 Q1,2011-10-01,2012-01-01,2.784295819462502e-5,5.570676004809147e-4,-3.618864963208015
LASSO,1,2012 Q1,2012 Q2,1992 Q1,2011 Q4,0.4453416266322563,0.7333096970885219,-0.2879680704562656,0.08292560960230475,0.2879680704562656,1,0.22124903769628515,2012 Q1,2012 Q2,2012-01-01,2012-04-01,0.05719949032628204,0.025726119276022703,-3.5931388439319925
LASSO,1,2012 Q2,2012 Q3,1992 Q2,2012 Q1,0.14392437648620415,0.5619163455170932,-0.4179919690308891,0.17471728617431975,0.4179919690308891,1,0.2214078278624357,2012 Q2,2012 Q3,2012-04-01,2012-07-01,0.08785704488064057,0.08686024129367918,-3.506278602638313
LASSO,1,2012 Q3,2012 Q4,1992 Q3,2012 Q2,0.11557374157504796,0.4271815670485963,-0.3116078254735483,0.09709943689635336,0.3116078254735483,0,0.22130614941931356,2012 Q3,2012 Q4,2012-07-01,2012-10-01,0.09401124405296764,0.003088192843385726,-3.5031904097949274
LASSO,1,2012 Q4,2013 Q1,1992 Q4,2012 Q3,0.9817259265515688,0.4069687542279763,0.5747571723235925,0.3303458071374118,0.5747571723235925,0,0.23028480691336536,2012 Q4,2013 Q1,2012-10-01,2013-01-01,0.20778737269289163,0.12255843444452016,-3.3806319753504073
LASSO,1,2013 Q1,2013 Q2,1993 Q1,2012 Q4,0.26727882651371715,0.7897138607589269,-0.5224350342452098,0.27293836500679347,0.5224350342452098,1,0.2333501087600655,2013 Q1,2013 Q2,2013-01-01,2013-04-01,0.03090845844340353,0.24202990656338993,-3.1386020687870175
LASSO,1,2013 Q2,2013 Q3,1993 Q2,2013 Q1,0.8477896552497199,0.4800836632069644,0.3677059920427555,0.13520769658414702,0.3677059920427555,0,0.2317764117889912,2013 Q2,2013 Q3,2013-04-01,2013-07-01,0.05517680541854252,0.0800308911656045,-3.058571177621413
LASSO,1,2013 Q3,2013 Q4,1993 Q3,2013 Q2,0.8679640238263175,0.7293240656373832,0.13863995818893438,0.01922103800662947,0.13863995818893438,0,0.23152313073927933,2013 Q3,2013 Q4,2013-07-01,2013-10-01,0.08283300846693481,-0.06361197046030534,-3.122183148081718
LASSO,1,2013 Q4,2014 Q1,1993 Q4,2013 Q3,-0.34569281496601434,0.7308597424533229,-1.0765525574193373,1.1589654088861157,1.0765525574193373,1,0.23755653159523651,2013 Q4,2014 Q1,2013-10-01,2014-01-01,0.7358625825932555,0.4231028262928601,-2.699080321788858
LASSO,1,2014 Q1,2014 Q2,1994 Q1,2013 Q4,1.283569022914932,0.21512370614864057,1.0684453167662913,1.1415753949198206,1.0684453167662913,0,0.2414432936270199,2014 Q1,2014 Q2,2014-01-01,2014-04-01,0.3866418743919271,0.7549335205278935,-1.9441468012609646
LASSO,1,2014 Q2,2014 Q3,1994 Q2,2014 Q1,1.2080648325781596,0.8665801380616447,0.34148469451651486,0.11661179658903748,0.34148469451651486,0,0.26624081456255866,2014 Q2,2014 Q3,2014-04-01,2014-07-01,0.2816905417081888,-0.16507874511915133,-2.1092255463801157
